2025-07-13_15:35:41 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 198-SUMMONER] Success: [0, 0]
2025-07-13_15:38:54 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 194-BKTest] Success: [0, 0]
2025-07-13_15:39:06 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 199-SUMMONER] Success: [0, 0]
2025-07-13_15:39:29 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 199-SUMMONER] Success: [0, 0]
2025-07-13_15:39:38 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 200-DARKLORD] Success: [0, 0]
2025-07-13_15:39:55 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 200-DARKLORD] Success: [0, 0]
2025-07-13_15:40:04 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 201-GLADIATOR] Success: [0, 0]
2025-07-13_15:41:15 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 202-RAGEFIGHTE] Success: [0, 0]
2025-07-13_15:41:33 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 194-BKTest] Success: [0, 0]
2025-07-13_15:42:56 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 203-Otromago] Success: [0, 0]
